ID,FirstName,LastName,GivenName,BirthCity,BirthState,BirthCountry,BirthDate,Bats,Throws,Weight,Height,Debut
5791,Stan,Galle,Stanley Joseph,Milwaukee,WI,USA,1919-02-07,R,R,165.0,67.0,1942-04-14
5792,Bert,Gallia,Melvin Allys,Beeville,TX,USA,1891-10-14,R,R,165.0,72.0,1912-09-04
5793,John,Galligan,John T.,Easton,PA,USA,,,,160.0,70.0,1889-09-02
5794,Phil,Gallivan,Philip Joseph,Seattle,WA,USA,1907-05-29,R,R,170.0,72.0,1931-04-21
5795,John,Gall,John Christopher,Stanford,CA,USA,1978-04-02,R,R,195.0,72.0,2005-07-26
5796,Chick,Galloway,Clarence Edward,Clinton,SC,USA,1896-08-04,R,R,160.0,68.0,1919-09-09
5797,Jim,Galloway,James Cato,Iredell,TX,USA,1887-09-16,B,R,187.0,75.0,1912-08-24
5798,Joey,Gallo,Joseph Nicholas,Henderson,NV,USA,1993-11-19,L,R,230.0,77.0,2015-06-02
5799,Mike,Gallo,Michael Dwain,Long Beach,CA,USA,1977-04-02,L,L,170.0,72.0,2003-07-02
5800,Balvino,Galvez,Balvino,San Pedro de Macoris,San Pedro de Macoris,D.R.,1964-03-31,R,R,170.0,72.0,1986-05-07
5801,Freddy,Galvis,Freddy Jose,Punto Fijo,Falcon,Venezuela,1989-11-14,B,R,190.0,70.0,2012-04-05
5802,Jim,Galvin,James Joseph,Somerville,MA,USA,1907-08-11,R,R,180.0,71.0,1930-09-27
5803,John,Galvin,John A.,,NY,USA,,,,178.0,67.0,1872-05-07
5804,Lou,Galvin,James Louis,St. Paul,MN,USA,1863-04-23,,,,,1884-10-01
5805,Pud,Galvin,James Francis,St. Louis,MO,USA,1856-12-25,R,R,190.0,68.0,1875-05-22
5806,Bob,Gamble,Robert,Philadelphia,PA,USA,1866-02-06,R,R,155.0,70.0,1888-05-02
5807,John,Gamble,John Robert,Reno,NV,USA,1948-02-10,R,R,165.0,70.0,1972-09-07
5808,Lee,Gamble,Lee Jesse,Renovo,PA,USA,1910-06-28,L,R,170.0,73.0,1935-09-15
5809,Oscar,Gamble,Oscar Charles,Ramer,AL,USA,1949-12-20,L,R,160.0,71.0,1969-08-27
5810,Mat,Gamel,Mathew Lawrence,Jacksonville,FL,USA,1985-07-26,L,R,220.0,73.0,2008-09-03
5811,Daff,Gammons,John Ashley,New Bedford,MA,USA,1876-03-17,R,R,170.0,71.0,1901-04-23
5812,Gus,Gandarillas,Gustavo,Coral Gables,FL,USA,1971-07-19,R,R,190.0,72.0,2001-07-17
5813,Chick,Gandil,Arnold,St. Paul,MN,USA,1888-01-19,R,R,190.0,73.0,1910-04-14
5814,Bob,Gandy,Robert Brinkley,Jacksonville,FL,USA,1893-08-25,L,R,180.0,75.0,1916-10-05
5815,Bob,Ganley,Robert Stephen,Lowell,MA,USA,1875-04-23,L,L,156.0,67.0,1905-09-01
5816,Bill,Gannon,William Patrick,New Haven,CT,USA,1873-03-17,,,170.0,69.0,1901-09-09
5817,Gussie,Gannon,James Edward,Erie,PA,USA,1873-11-26,L,L,154.0,71.0,1895-06-15
5818,Joe,Gannon,Michael Joseph,St. Louis,MO,USA,1877-02-22,,,160.0,,1898-08-28
5819,Joe,Gantenbein,Joseph Steven,San Francisco,CA,USA,1915-08-25,L,R,168.0,69.0,1939-04-20
5820,Jim,Gantner,James Elmer,Fond du Lac,WI,USA,1953-01-05,L,R,180.0,72.0,1976-09-03
5821,Ron,Gant,Ronald Edwin,Victoria,TX,USA,1965-03-02,R,R,172.0,72.0,1987-09-06
5822,Babe,Ganzel,Foster Pirie,Malden,MA,USA,1901-05-22,R,R,172.0,70.0,1927-09-19
5823,Charlie,Ganzel,Charles William,Waterford,WI,USA,1862-06-18,R,R,161.0,72.0,1884-09-27
5824,John,Ganzel,John Henry,Kalamazoo,MI,USA,1874-04-07,R,R,195.0,72.0,1898-04-21
5825,Eddy,Garabito,Eddy Jorge,Bajos de Haina,San Cristobal,D.R.,1976-12-02,B,R,186.0,68.0,2005-05-27
5826,Joe,Garagiola,Joseph Henry,St. Louis,MO,USA,1926-02-12,L,R,190.0,72.0,1946-05-26
5827,Keith,Garagozzo,Keith John,Camden,NJ,USA,1969-10-25,L,L,170.0,72.0,1994-04-05
5828,Victor,Garate,Victor J.,Maracay,Aragua,Venezuela,1984-09-25,L,L,210.0,73.0,2009-09-05
5829,Bob,Garbark,Robert Michael,Houston,TX,USA,1909-11-13,R,R,178.0,71.0,1934-09-03
5830,Mike,Garbark,Nathaniel Michael,Houston,TX,USA,1916-02-02,R,R,200.0,72.0,1944-04-18
5831,Barbaro,Garbey,Barbaro,Santiago de Cuba,Santiago de Cuba,Cuba,1956-12-04,R,R,170.0,70.0,1984-04-03
5832,Bob,Garber,Robert Mitchell,Hunker,PA,USA,1928-09-10,R,R,190.0,73.0,1956-05-13
5833,Gene,Garber,Henry Eugene,Lancaster,PA,USA,1947-11-13,R,R,175.0,70.0,1969-06-17
5834,Alex,Garbowski,Alexander,Yonkers,NY,USA,1922-06-25,R,R,185.0,73.0,1952-04-16
5835,Frank,Garces,Frank Yeury,San Cristobal,San Cristobal,D.R.,1990-01-17,L,L,175.0,71.0,2014-08-19
5836,Rich,Garces,Richard Aron,Maracay,Aragua,Venezuela,1971-05-18,R,R,250.0,72.0,1990-09-18
5837,Adonis,Garcia,Adonis,Ciego de Avila,,Cuba,1985-04-12,R,R,190.0,69.0,2015-05-19
5838,Amaury,Garcia,Amaury Miguel,Santo Domingo,Distrito Nacional,D.R.,1975-05-20,R,R,160.0,70.0,1999-07-05
5839,Anderson,Garcia,Anderson,Santo Domingo,Distrito Nacional,D.R.,1981-03-23,R,R,180.0,74.0,2007-07-07
5840,Avisail,Garcia,Avisail Antonio,Anaco,Anzoategui,Venezuela,1991-06-12,R,R,240.0,76.0,2012-08-31
5841,Carlos,Garcia,Carlos Jesus,Tachira,,Venezuela,1967-10-15,R,R,185.0,73.0,1990-09-20
5842,Chico,Garcia,Vinicio Otilio,Veracruz,Veracruz,Mexico,1924-12-24,R,R,170.0,68.0,1954-04-24
5843,Christian,Garcia,Christian J.,Miami,FL,USA,1985-08-24,R,R,230.0,77.0,2012-09-04
5844,Damaso,Garcia,Damaso Domingo,Moca,Espaillat,D.R.,1957-02-07,R,R,165.0,73.0,1978-06-24
5845,Danny,Garcia,Daniel Raphael,Brooklyn,NY,USA,1954-04-29,L,L,182.0,73.0,1981-04-26
5846,Daniel,Garcia,Daniel Joseph,Riverside,CA,USA,1980-04-12,R,R,180.0,72.0,2003-09-02
5847,Dave,Garcia,David,East St. Louis,IL,USA,1920-09-15,R,,185.0,72.0,
5848,Freddy,Garcia,Freddy Adrian,La Romana,La Romana,D.R.,1972-08-01,R,R,190.0,74.0,1995-05-02
5849,Freddy,Garcia,Freddy Antonio,Caracas,Distrito Federal,Venezuela,1976-10-06,R,R,250.0,76.0,1999-04-07
5850,Greg,Garcia,Greg Joseph,El Cajon,CA,USA,1989-08-08,L,R,190.0,72.0,2014-04-28
5851,Guillermo,Garcia,Guillermo Antonio,Santiago,Santiago,D.R.,1972-04-04,R,R,215.0,75.0,1998-07-19
5852,Harvey,Garcia,Harvey Anderson,Caracas,Distrito Federal,Venezuela,1984-03-16,R,R,170.0,74.0,2007-09-03
5853,Santiago,Casilla,Santiago,San Cristobal,San Cristobal,D.R.,1980-07-25,R,R,210.0,72.0,2004-08-09
5854,Jaime,Garcia,Jaime Omar,Reynosa,Tamaulipas,Mexico,1986-07-08,L,L,215.0,74.0,2008-07-11
5855,Jason,Garcia,Jason Emilio,Bronx,NY,USA,1992-11-21,R,R,185.0,72.0,2015-04-08
5856,Jesse,Garcia,Jesus Jesse,Corpus Christi,TX,USA,1973-09-24,R,R,155.0,70.0,1999-04-05
5857,Jose,Garcia,Jose Luis,Dajabon,Dajabon,D.R.,1985-01-07,R,R,165.0,71.0,2006-09-11
5858,Karim,Garcia,Gustavo Karim,Ciudad Obregon,Sonora,Mexico,1975-10-29,L,L,210.0,72.0,1995-09-02
5859,Kiko,Garcia,Alfonso Rafael,Martinez,CA,USA,1953-10-14,R,R,180.0,71.0,1976-09-11
5860,Leo,Garcia,Leonardo Antonio,Santiago,Santiago,D.R.,1962-11-06,L,L,160.0,68.0,1987-04-06
5861,Leury,Garcia,Leury,Santiago,Santiago,D.R.,1991-03-18,B,R,170.0,68.0,2013-04-06
5862,Luis,Garcia,Luis Rafael,San Francisco de Macoris,Duarte,D.R.,1975-05-20,R,R,175.0,72.0,1999-04-05
5863,Luis,Garcia,Luis Carlos,Hermosillo,Sonora,Mexico,1975-09-22,R,R,215.0,75.0,2002-04-10
5864,Luis,Garcia,Luis Amado,Santo Domingo,Distrito Nacional,D.R.,1987-01-30,R,R,230.0,75.0,2013-07-10
5865,Mike,Garcia,Edward Miguel,San Gabriel,CA,USA,1923-11-17,R,R,195.0,73.0,1948-10-03
5866,Miguel,Garcia,Miguel Angel,Caracas,Distrito Federal,Venezuela,1967-04-03,L,L,173.0,71.0,1987-04-30
5867,Mike,Garcia,Michael R.,Riverside,CA,USA,1968-05-11,R,R,220.0,74.0,1999-09-10
5868,Nomar,Garciaparra,Anthony Nomar,Whittier,CA,USA,1973-07-23,R,R,165.0,72.0,1996-08-31
5869,Onelki,Garcia,Onelki,Guantanamo,Guantanamo,Cuba,1989-08-02,L,L,225.0,75.0,2013-09-11
5870,Pedro,Garcia,Pedro Modesto,Guayama,,P.R.,1950-04-17,R,R,175.0,70.0,1973-04-06
5871,Ramon,Garcia,Ramon,La Esperanza,,Cuba,1924-03-05,R,R,170.0,70.0,1948-04-19
5872,Ralph,Garcia,Ralph,Los Angeles,CA,USA,1948-12-14,R,R,195.0,72.0,1972-09-26
5873,Ramon,Garcia,Ramon Antonio,Guanare,Portuguesa,Venezuela,1969-02-09,R,R,200.0,74.0,1991-05-31
5874,Reynaldo,Garcia,Reynaldo,Nagua,Maria Trinidad Sanchez,D.R.,1974-04-15,R,R,170.0,75.0,2002-07-19
5875,Rosman,Garcia,Rosman Jose,Maracay,Aragua,Venezuela,1979-01-03,R,R,215.0,74.0,2003-04-19
5876,Yimi,Garcia,Yimi,Moca,Espaillat,D.R.,1990-08-18,R,R,210.0,73.0,2014-09-01
5877,Al,Gardella,Alfred Stephen,New York,NY,USA,1918-01-11,L,L,172.0,70.0,1945-05-17
5878,Danny,Gardella,Daniel Lewis,New York,NY,USA,1920-02-26,L,L,160.0,67.0,1944-05-14
5879,Ron,Gardenhire,Ronald Clyde,Butzbach,Hessen,Germany,1957-10-24,R,R,175.0,72.0,1981-09-01
5880,Art,Gardiner,Arthur Cecil,Brooklyn,NY,USA,1899-12-26,R,R,,,1923-09-25
5881,Mike,Gardiner,Michael James,Sarnia,ON,CAN,1965-10-19,B,R,185.0,72.0,1990-09-08
5882,Alex,Gardner,Alexander,Toronto,ON,CAN,1861-04-28,R,,,,1884-05-10
5883,Art,Gardner,Arthur Junior,Madden,MS,USA,1952-09-21,L,L,175.0,71.0,1975-09-02
5884,Bill,Gardner,William A.,Baltimore,MD,USA,,,,,,1887-08-09
5885,Billy,Gardner,William Frederick,Waterford,CT,USA,1927-07-19,R,R,170.0,72.0,1954-04-22
5886,Brett,Gardner,Brett M.,Holly Hill,SC,USA,1983-08-24,L,L,185.0,70.0,2008-06-30
5887,Chris,Gardner,Christopher John,Long Beach,CA,USA,1969-03-30,R,R,175.0,72.0,1991-09-10
5888,Earle,Gardner,Earle McClurkin,Sparta,IL,USA,1884-01-24,R,R,160.0,71.0,1908-09-18
5889,Gid,Gardner,Franklin Washington,Boston,MA,USA,1859-05-06,R,R,165.0,,1879-08-23
5890,Glenn,Gardner,Miles Glenn,Burnsville,NC,USA,1916-01-25,R,R,180.0,71.0,1945-07-19
5891,Harry,Gardner,Harry Ray,Quincy,MI,USA,1887-06-01,R,R,180.0,74.0,1911-04-17
5892,Jeff,Gardner,Jeffrey Scott,Newport Beach,CA,USA,1964-02-04,L,R,165.0,71.0,1991-09-10
5893,Jim,Gardner,James Andrew,Pittsburgh,PA,USA,1873-10-04,,R,,,1895-06-20
5894,Larry,Gardner,William Lawrence,Enosburg Falls,VT,USA,1886-05-13,L,R,165.0,68.0,1908-06-25
5895,Lee,Gardner,Terrence Lee,Hartland,MI,USA,1975-01-16,R,R,219.0,72.0,2002-05-24
5896,Mark,Gardner,Mark Allan,Los Angeles,CA,USA,1962-03-01,R,R,190.0,73.0,1989-05-16
5897,Ray,Gardner,Raymond Vincent,Frederick,MD,USA,1901-10-25,R,R,145.0,68.0,1929-04-16
5898,Rob,Gardner,Richard Frank,Binghamton,NY,USA,1944-12-19,R,L,176.0,73.0,1965-09-01
5899,Wes,Gardner,Wesley Brian,Benton,AR,USA,1961-04-29,R,R,197.0,76.0,1984-07-29
5900,Bill,Garfield,William Milton,Sheffield,OH,USA,1867-10-26,R,R,160.0,71.0,1889-07-10
5901,Art,Garibaldi,Arthur Edward,San Francisco,CA,USA,1907-08-21,R,R,165.0,68.0,1936-06-20
5902,Bob,Garibaldi,Robert Roy,Stockton,CA,USA,1942-03-03,L,R,210.0,76.0,1962-07-15
5903,Daniel,Garibay,Daniel,Maneadero,Baja California,Mexico,1973-02-14,L,L,154.0,68.0,2000-04-09
5904,Ryan,Garko,Ryan Francis,Pittsburgh,PA,USA,1981-01-02,R,R,225.0,74.0,2005-09-18
5905,Jon,Garland,Jon Steven,Valencia,CA,USA,1979-09-27,R,R,210.0,78.0,2000-07-04
5906,Lou,Garland,Louis Lyman,Archie,MO,USA,1905-07-16,R,R,200.0,74.0,1931-08-31
5907,Wayne,Garland,Marcus Wayne,Nashville,TN,USA,1950-10-26,R,R,195.0,72.0,1973-09-13
5908,Mike,Garman,Michael Douglas,Caldwell,ID,USA,1949-09-16,R,R,195.0,75.0,1969-09-22
5909,Debs,Garms,Debs C.,Bangs,TX,USA,1907-06-26,L,R,165.0,68.0,1932-08-10
5910,Cole,Garner,Robert Cole,Long Beach,CA,USA,1984-12-15,R,R,215.0,74.0,2011-07-04
5911,Dustin,Garneau,Dustin Thomas,Torrance,CA,USA,1987-08-13,R,R,200.0,72.0,2015-08-20
5912,Phil,Garner,Philip Mason,Jefferson City,TN,USA,1949-04-30,R,R,175.0,70.0,1973-09-10
5913,Willie,Garoni,William,Fort Lee,NJ,USA,1877-07-28,R,R,165.0,73.0,1899-09-07
5914,Adrian,Garrett,Henry Adrian,Brooksville,FL,USA,1943-01-03,L,R,185.0,75.0,1966-04-13
5915,Clarence,Garrett,Clarence Raymond,Reader,WV,USA,1891-03-06,R,R,185.0,77.0,1915-09-13
5916,Greg,Garrett,Gregory,Atascadero,CA,USA,1947-03-12,B,L,200.0,72.0,1970-04-24
5917,Scott,Garrelts,Scott William,Champaign,IL,USA,1961-10-30,R,R,195.0,76.0,1982-10-02
5918,Wayne,Garrett,Ronald Wayne,Brooksville,FL,USA,1947-12-03,L,R,175.0,71.0,1969-04-12
5919,Cecil,Garriott,Virgil Cecil,Harristown,IL,USA,1916-08-15,L,R,165.0,68.0,1946-09-04
5920,Cliff,Garrison,Clifford William,Belmont,OK,USA,1906-08-13,R,R,180.0,72.0,1928-04-16
5921,Ford,Garrison,Robert Ford,Greenville,SC,USA,1915-08-29,R,R,180.0,70.0,1943-04-22
5922,Gil,Garrido,Gil Gonzalo,Panama,Panama,Panama,1941-06-26,R,R,150.0,69.0,1964-04-24
5923,Hank,Garrity,Francis Joseph,Boston,MA,USA,1908-02-04,R,R,185.0,73.0,1931-07-26
5924,Steve,Garrison,Stevenson Nathaniel,Trenton,NJ,USA,1986-09-12,B,L,195.0,73.0,2011-07-25
5925,Webster,Garrison,Webster Leotis,Marrero,LA,USA,1965-08-24,R,R,170.0,71.0,1996-08-02
5926,Ralph,Garr,Ralph Allen,Monroe,LA,USA,1945-12-12,L,R,185.0,71.0,1968-09-03
5927,Jim,Garry,James Thomas,Great Barrington,MA,USA,1869-09-21,L,L,165.0,70.0,1893-05-02
5928,Ned,Garver,Ned Franklin,Ney,OH,USA,1925-12-25,R,R,180.0,70.0,1948-04-28
5929,Steve,Garvey,Steven Patrick,Tampa,FL,USA,1948-12-22,R,R,192.0,70.0,1969-09-01
5930,Jerry,Garvin,Theodore Jared,Oakland,CA,USA,1955-10-21,L,L,195.0,75.0,1977-04-10
5931,Ned,Garvin,Virgil Lee,Navasota,TX,USA,1874-01-01,R,R,160.0,75.0,1896-07-13
5932,Matt,Garza,Matthew Scott,Selma,CA,USA,1983-11-26,R,R,215.0,76.0,2006-08-11
5933,Harry,Gaspar,Harry Lambert,Quorn,IA,USA,1883-04-28,R,R,180.0,72.0,1909-04-21
5934,Rod,Gaspar,Rodney Earl,Long Beach,CA,USA,1946-04-03,B,L,165.0,71.0,1969-04-08
5935,Charlie,Gassaway,Charles Cason,Gassaway,TN,USA,1918-08-12,L,L,210.0,74.0,1944-09-25
5936,Dave,Gassner,David K.,Hortonville,WI,USA,1978-12-14,R,L,190.0,74.0,2005-04-16
5937,Tom,Gastall,Thomas Everett,Fall River,MA,USA,1932-06-13,R,R,187.0,74.0,1955-06-21
5938,Ed,Gastfield,Edward,Chicago,IL,USA,1865-08-01,R,,155.0,69.0,1884-08-13
5939,John,Gast,John Walter,Altamonte Springs,FL,USA,1989-02-16,L,L,190.0,74.0,2013-05-14
5940,Alex,Gaston,Alexander Nathaniel,New York,NY,USA,1893-03-12,R,R,170.0,69.0,1920-09-26
5941,Cito,Gaston,Clarence Edwin,San Antonio,TX,USA,1944-03-17,R,R,190.0,75.0,1967-09-14
5942,Milt,Gaston,Nathaniel Milton,Ridgefield Park,NJ,USA,1896-01-27,R,R,185.0,73.0,1924-04-20
5943,Welcome,Gaston,Welcome Thornburg,Senecaville,OH,USA,1874-12-19,,L,,,1898-10-06
5944,Hank,Gastright,Henry Carl,Covington,KY,USA,1865-03-29,R,R,190.0,74.0,1889-04-19
5945,Brent,Gates,Brent Robert,Grand Rapids,MI,USA,1970-03-14,B,R,180.0,73.0,1993-05-05
5946,Joe,Gates,Joseph Daniel,Gary,IN,USA,1954-10-03,L,R,175.0,67.0,1978-09-12
5947,Mike,Gates,Michael Grant,Culver City,CA,USA,1956-09-20,L,R,165.0,72.0,1981-05-06
5948,Aubrey,Gatewood,Aubrey Lee,Little Rock,AR,USA,1938-11-17,R,R,170.0,73.0,1963-09-11
5949,Joey,Gathright,Joey Renard,Hattiesburg,MS,USA,1981-04-27,L,R,175.0,70.0,2004-06-25
5950,Frank,Gatins,Frank Anthony,Johnstown,PA,USA,1871-03-06,,,160.0,71.0,1898-09-21
5951,Evan,Gattis,James Evan,Dallas,TX,USA,1986-08-18,R,R,260.0,76.0,2013-04-03
5952,John,Gaub,John David,St. Paul,MN,USA,1985-04-28,R,L,210.0,74.0,2011-09-12
5953,Jim,Gaudet,James Jennings,New Orleans,LA,USA,1955-06-03,R,R,185.0,72.0,1978-09-10
5954,Chad,Gaudin,Chad Edward,Metairie,LA,USA,1983-03-24,R,R,190.0,70.0,2003-08-01
5955,Mike,Gaule,Michael John,Baltimore,MD,USA,1869-08-04,L,L,,74.0,1889-06-15
5956,Kevin,Gausman,Kevin John,Centennial,CO,USA,1991-01-06,L,R,190.0,75.0,2013-05-23
5957,Doc,Gautreau,Walter Paul,Cambridge,MA,USA,1901-07-26,R,R,129.0,64.0,1925-06-22
5958,Sid,Gautreaux,Sidney Allen,Schriever,LA,USA,1912-05-04,B,R,190.0,68.0,1936-04-15
5959,,Gavern,,,,,,,,,,1874-06-15
5960,Chippy,Gaw,George Joseph,West Newton,MA,USA,1892-03-13,R,R,180.0,71.0,1920-04-20
5961,Mike,Gazella,Michael,Olyphant,PA,USA,1895-10-13,R,R,165.0,67.0,1923-07-02
5962,Dale,Gear,Dale Dudley,Lone Elm,KS,USA,1872-02-02,R,R,165.0,71.0,1896-08-15
5963,Gary,Gearhart,Lloyd William,New Lebanon,OH,USA,1923-08-10,R,L,180.0,71.0,1947-04-18
5964,Dinty,Gearin,Dennis John,Providence,RI,USA,1897-10-15,L,L,148.0,64.0,1923-08-06
5965,Cory,Gearrin,Cory Nathanial,Chattanooga,TN,USA,1986-04-14,R,R,215.0,75.0,2011-04-25
5966,Bob,Geary,Robert Norton,Cincinnati,OH,USA,1891-05-10,R,R,168.0,71.0,1918-04-25
5967,Geoff,Geary,Geoffrey Michael,Buffalo,NY,USA,1976-08-26,R,R,180.0,72.0,2003-08-27
5968,Huck,Geary,Eugene Francis Joseph,Buffalo,NY,USA,1917-01-22,L,R,170.0,70.0,1942-07-17
5969,Bob,Gebhard,Robert Henry,Lamberton,MN,USA,1943-01-03,R,R,210.0,74.0,1971-08-02
5970,Pete,Gebrian,Peter,Bayonne,NJ,USA,1923-08-10,R,R,170.0,72.0,1947-05-06
5971,Jim,Geddes,James Lee,Columbus,OH,USA,1949-03-23,R,R,200.0,74.0,1972-04-28
5972,Elmer,Gedeon,Elmer John,Cleveland,OH,USA,1917-04-15,R,R,196.0,76.0,1939-09-18
5973,Joe,Gedeon,Elmer Joseph,Sacramento,CA,USA,1893-12-05,R,R,167.0,72.0,1913-05-13
5974,Rich,Gedman,Richard Leo,Worcester,MA,USA,1959-09-26,L,R,210.0,72.0,1980-09-07
5975,Count,Gedney,Alfred W.,New York,NY,USA,1849-05-06,,,140.0,69.0,1872-04-27
5976,Dillon,Gee,Dillon Kyle,Cleburne,TX,USA,1986-04-28,R,R,205.0,73.0,2010-09-07
5977,Johnny,Gee,John Alexander,Syracuse,NY,USA,1915-12-07,L,L,225.0,81.0,1939-09-17
5978,Billy,Geer,William Henry Harrison,,,,,,R,160.0,68.0,1874-10-15
5979,Josh,Geer,Joshua Brent,Dallas,TX,USA,1983-06-02,R,R,195.0,75.0,2008-08-30
5980,Charlie,Gehringer,Charles Leonard,Fowlerville,MI,USA,1903-05-11,L,R,180.0,71.0,1924-09-22
5981,Hank,Gehring,Henry,St. Paul,MN,USA,1881-01-24,R,R,,,1907-07-16
5982,Lou,Gehrig,Henry Louis,New York,NY,USA,1903-06-19,L,L,200.0,72.0,1923-06-15
5983,Paul,Gehrman,Paul Arthur,Marquam,OR,USA,1912-05-03,R,R,195.0,72.0,1937-09-15
5984,Phil,Geier,Philip Louis,Washington,DC,USA,1876-11-03,L,R,145.0,67.0,1896-08-17
5985,Gary,Geiger,Gary Merle,Sand Ridge,IL,USA,1937-04-04,L,R,168.0,72.0,1958-04-15
5986,Bill,Geiss,William J.,Chicago,IL,USA,1858-07-15,,,164.0,70.0,1882-07-19
5987,Dave,Geisel,John David,Windber,PA,USA,1955-01-18,L,L,210.0,75.0,1978-06-13
5988,Vern,Geishert,Vernon William,Madison,WI,USA,1946-01-10,R,R,215.0,73.0,1969-08-26
5989,Emil,Geiss,Emil August,Chicago,IL,USA,1867-03-20,R,R,170.0,71.0,1887-05-18
5990,Charlie,Gelbert,Charles Magnus,Scranton,PA,USA,1906-01-26,R,R,170.0,71.0,1929-04-16
5991,John,Gelnar,John Richard,Granite,OK,USA,1943-06-25,R,R,185.0,74.0,1964-08-04
5992,Steve,Geltz,Steven Andrew,Newfane,NY,USA,1987-11-01,R,R,210.0,70.0,2012-08-16
5993,Joe,Genewich,Joseph Edward,Elmira,NY,USA,1897-01-15,R,R,174.0,72.0,1922-09-03
5994,Frank,Genins,C. Frank,St. Louis,MO,USA,1866-11-02,,R,,,1892-07-05
5995,Scooter,Gennett,Ryan Joseph,Cincinnati,OH,USA,1990-05-01,L,R,185.0,70.0,2013-06-03
5996,George,Genovese,George Michael,Staten Island,NY,USA,1922-02-22,L,R,160.0,66.0,1950-04-29
5997,Jim,Gentile,James Edward,San Francisco,CA,USA,1934-06-03,L,L,210.0,75.0,1957-09-10
5998,Sam,Gentile,Samuel Christopher,Charlestown,MA,USA,1916-10-12,L,R,180.0,71.0,1943-04-24
5999,Craig,Gentry,Craig Alan,Fort Smith,AR,USA,1983-11-29,R,R,190.0,74.0,2009-09-06
6000,Gary,Gentry,Gary Edward,Phoenix,AZ,USA,1946-10-06,R,R,170.0,72.0,1969-04-10
6001,Harvey,Gentry,Harvey William,Winston-Salem,NC,USA,1926-05-27,L,R,170.0,72.0,1954-04-14
6002,Rufe,Gentry,James Ruffus,Daisy Station,NC,USA,1918-05-18,R,R,180.0,73.0,1943-09-10
6003,Alex,George,Alex Thomas M.,Kansas City,MO,USA,1938-09-27,L,R,170.0,71.0,1955-09-16
6004,Bill,George,William,Bellaire,OH,USA,1865-01-27,R,L,165.0,68.0,1887-05-11
6005,Chris,George,Christopher Sean,Pittsburgh,PA,USA,1966-09-24,R,R,200.0,74.0,1991-10-01
6006,Chris,George,Christopher Coleman,Houston,TX,USA,1979-09-16,L,L,200.0,74.0,2001-07-26
6007,Greek,George,Charles Peter,Waycross,GA,USA,1912-12-25,R,R,200.0,74.0,1935-06-30
6008,Lefty,George,Thomas Edward,Pittsburgh,PA,USA,1886-08-13,L,L,155.0,72.0,1911-04-14
6009,Oscar,Georgy,Oscar John,New Orleans,LA,USA,1916-11-25,R,R,180.0,75.0,1938-06-04
6010,Ben,Geraghty,Benjamin Raymond,Jersey City,NJ,USA,1912-07-19,R,R,175.0,71.0,1936-04-17
6011,Dave,Gerard,David Frederick,New York,NY,USA,1936-08-06,R,R,205.0,74.0,1962-04-10
6012,Craig,Gerber,Craig Stuart,Chicago,IL,USA,1959-01-08,L,R,175.0,72.0,1985-04-11
6013,George,Gerberman,George Alois,El Campo,TX,USA,1942-03-08,R,R,180.0,72.0,1962-09-23
6014,Wally,Gerber,Walter,Columbus,OH,USA,1891-08-18,R,R,152.0,70.0,1914-09-23
6015,Bob,Geren,Robert Peter,San Diego,CA,USA,1961-09-22,R,R,205.0,75.0,1988-05-17
6016,Joe,Gerhardt,John Joseph,Washington,DC,USA,1855-02-14,R,R,160.0,72.0,1873-09-01
6017,Ken,Gerhart,Harold Kenneth,Charleston,SC,USA,1961-05-19,R,R,190.0,72.0,1986-09-14
6018,Rusty,Gerhardt,Allen Russell,Baltimore,MD,USA,1950-08-13,B,L,175.0,69.0,1974-07-27
6019,Al,Gerheauser,Albert,St. Louis,MO,USA,1917-06-24,L,L,190.0,75.0,1943-04-24
6020,George,Gerken,George Herbert,Chicago,IL,USA,1903-07-28,R,R,175.0,71.0,1927-04-19
6021,Steve,Gerkin,Stephen Paul,Grafton,WV,USA,1912-11-19,R,R,162.0,73.0,1945-05-13
6022,Johnny,Gerlach,John Glenn,Shullsburg,WI,USA,1917-05-11,R,R,165.0,69.0,1938-09-03
6023,Esteban,German,Esteban,Bajos de Haina,San Cristobal,D.R.,1978-01-26,R,R,195.0,69.0,2002-05-21
6024,Franklyn,German,Franklyn Miguel,San Cristobal,San Cristobal,D.R.,1980-01-20,R,R,260.0,79.0,2002-09-07
6025,Justin,Germano,Justin William,Pasadena,CA,USA,1982-08-06,R,R,210.0,74.0,2004-05-22
6026,Les,German,Lester Stanley,Baltimore,MD,USA,1869-06-01,R,R,165.0,68.0,1890-08-27
6027,Gonzalez,Germen,Gonzalez German,Guaymate,La Romana,D.R.,1987-09-23,R,R,200.0,73.0,2013-07-12
6028,Dick,Gernert,Richard Edward,Reading,PA,USA,1928-09-28,R,R,209.0,75.0,1952-04-16
6029,Ed,Gerner,Edwin Frederick,Philadelphia,PA,USA,1897-07-22,L,L,175.0,68.0,1919-05-14
6030,Cesar,Geronimo,Cesar Francisco,El Seibo,El Seibo,D.R.,1948-03-11,L,L,165.0,72.0,1969-04-16
6031,Lou,Gertenrich,Louis Wilhelm,Chicago,IL,USA,1875-05-04,R,R,175.0,68.0,1901-09-15
6032,Jody,Gerut,Joseph Diego,Elmhurst,IL,USA,1977-09-18,L,L,190.0,72.0,2003-04-26
